,epsilon_progress,nfe
0,0,0
1,2,100
2,75,1173
3,230,2242
4,326,3306
5,398,4369
6,439,5429
7,470,6497
8,492,7551
9,509,8606
10,525,9664
11,585,10844
12,635,12117
13,662,13383
14,675,14665
15,686,15951
16,696,17221
17,714,18496
18,721,19764
19,732,21038
20,737,22311
21,749,23582
22,760,24836
23,775,26093
24,780,27379
25,784,28645
26,791,29913
27,794,31184
28,797,32466
29,808,33743
30,815,34998
31,819,36282
32,822,37552
33,826,38817
34,829,40097
35,832,41355
36,838,42622
37,843,43887
38,849,45155
39,853,46420
40,856,47700
41,861,48977
42,863,50232
43,869,51507
44,877,52780
45,877,54065
46,877,55333
47,878,56598
48,882,57864
49,884,59146
50,885,60419
51,888,61673
52,890,62951
53,893,64227
54,894,65505
55,897,66769
56,900,68042
57,900,69306
58,900,70579
59,901,71851
60,902,73131
61,906,74406
62,909,75697
63,910,76972
64,911,78247
65,914,79524
66,915,80794
67,916,82068
68,917,83343
69,919,84613
70,920,85889
71,921,87157
72,922,88430
73,923,89700
74,923,90971
75,923,92223
76,926,93490
77,927,94764
78,929,96034
79,930,97317
80,934,98590
81,935,99865
